"Timestamp","EventType","PID","ProcessName","ProcessPath","WindowTitle","WindowClass","ParentPID","ParentProcess","IsVisible","WindowStyle","WindowRect","OwnerInfo","CommandLine"
"2026-04-04 16:46:58.667","FOREGROUND","0","Idle","ACCESS_DENIED","","","0","","False","Style=0x00000000 ExStyle=0x00000000","0,0,0,0","",""
"2026-04-04 16:46:59.117","FOREGROUND","0","Idle","ACCESS_DENIED","","","0","","False","Style=0x00000000 ExStyle=0x00000000","0,0,0,0","",""
"2026-04-04 16:46:59.465","FOREGROUND","66972","WindowsTerminal","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe","[REDACTED-TITLE]","CASCADIA_HOSTING_WINDOW_CLASS","11296","explorer","True","Style=0x14CF0000 ExStyle=0x00200100","-2302,212,-249,836","","""C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe"" --profile ""{61c54bbd-c2c6-5271-96e7-009a87ff44bf}"" --startingDirectory ""C:\Users\REDACTED"" "
"2026-04-04 16:46:59.864","FOREGROUND","66972","WindowsTerminal","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe","[REDACTED-TITLE]","CASCADIA_HOSTING_WINDOW_CLASS","11296","explorer","True","Style=0x14CF0000 ExStyle=0x00200100","-2302,212,-249,836","","""C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe"" --profile ""{61c54bbd-c2c6-5271-96e7-009a87ff44bf}"" --startingDirectory ""C:\Users\REDACTED"" "
"2026-04-04 16:47:00.154","FOREGROUND","0","Idle","ACCESS_DENIED","","","0","","False","Style=0x00000000 ExStyle=0x00000000","0,0,0,0","",""
"2026-04-04 16:47:00.465","FOREGROUND","22188","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","Norton 360","CefHeaderWindow","5988","EXITED","False","Style=0x840D0000 ExStyle=0x00000100","775,359,1785,1033","","""C:\Program Files\Norton\Suite\NortonUI.exe"" /nogui"
"2026-04-04 16:47:00.499","FOREGROUND","22188","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","Norton 360","CefHeaderWindow","5988","EXITED","False","Style=0x840D0000 ExStyle=0x00000100","775,359,1785,1033","","""C:\Program Files\Norton\Suite\NortonUI.exe"" /nogui"
"2026-04-04 16:47:00.809","FOREGROUND","22188","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","","Chrome_WidgetWin_0","5988","EXITED","False","Style=0x56000000 ExStyle=0x00000000","775,359,1785,1033","","""C:\Program Files\Norton\Suite\NortonUI.exe"" /nogui"
"2026-04-04 16:47:01.138","FOREGROUND","22188","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","","Chrome_WidgetWin_0","5988","EXITED","False","Style=0x56000000 ExStyle=0x00000000","775,359,1785,1033","","""C:\Program Files\Norton\Suite\NortonUI.exe"" /nogui"
"2026-04-04 16:47:58.361","FOREGROUND","0","Idle","ACCESS_DENIED","","","0","","False","Style=0x00000000 ExStyle=0x00000000","0,0,0,0","",""
"2026-04-04 16:47:58.844","FOREGROUND","0","Idle","ACCESS_DENIED","","","0","","False","Style=0x00000000 ExStyle=0x00000000","0,0,0,0","",""
"2026-04-04 16:47:59.158","FOREGROUND","0","Idle","ACCESS_DENIED","","","0","","False","Style=0x00000000 ExStyle=0x00000000","0,0,0,0","",""
"2026-04-04 16:47:59.634","FOREGROUND","66972","WindowsTerminal","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe","[REDACTED-TITLE]","CASCADIA_HOSTING_WINDOW_CLASS","11296","explorer","True","Style=0x14CF0000 ExStyle=0x00200100","-2302,212,-249,836","","""C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe"" --profile ""{61c54bbd-c2c6-5271-96e7-009a87ff44bf}"" --startingDirectory ""C:\Users\REDACTED"" "
